Invoice No,Invoice Date,Customer Code,Customer Name,Customer Type,Region,State,City,Product Code,Product Name,Category,Brand,Quantity,Unit Price,Payment Status,Payment Mode,Sales Person,Gross Sales,Discount %,Discount Amount,Tax %,Tax Amount,Net Sales,Cost,Profit
INV00000011,2025-10-15,CUST000011,Prime Weaving Ltd,Wholesale,East,Uttar Pradesh,Kanpur,PROD000012,Poplin 100 GSM,Cotton Fabric,Reliance,279,206.96,Overdue,Cheque,Neha Joshi,57741.84,0,0.0,18,10393.53,68135.37,45756,11985.84
INV00000012,2024-07-19,CUST000004,Global Weaving Ltd,Distributor,East,Delhi,Ahmedabad,PROD000040,Lycra 320 GSM,Technical Textile,Trident,443,667.35,Overdue,UPI,Manish Kumar,295636.05,10,29563.6,18,47893.04,313965.49,237891,28181.45
INV00000013,2025-09-23,CUST000020,Global Traders & Co.,Retail,East,Tamil Nadu,Mysuru,PROD000033,Satin 280 GSM,Denim,Alok,149,173.6,Pending,NEFT,Rahul Mehta,25866.4,0,0.0,18,4655.95,30522.35,21158,4708.4
INV00000014,2025-11-11,CUST000011,Prime Weaving Ltd,Wholesale,East,Uttar Pradesh,Kanpur,PROD000020,Denim 100 GSM,Silk,Garden,75,787.32,Overdue,UPI,Vikas Jain,59049.0,5,2952.45,18,10097.38,66193.93,44850,11246.55
INV00000015,2024-10-07,CUST000003,Sunrise Creation LLP,Distributor,East,Uttar Pradesh,Nagpur,PROD000021,Drill 280 GSM,Cotton Yarn,Welspun,287,132.1,Pending,Cheque,Karan Singh,37912.7,5,1895.64,18,6483.07,42500.14,28126,7891.06
INV00000016,2025-01-27,CUST000003,Sunrise Creation LLP,Distributor,East,Uttar Pradesh,Nagpur,PROD000005,Canvas 200 GSM,Viscose,Welspun,218,250.29,Paid,Cheque,Vikas Jain,54563.22,10,5456.32,18,8839.24,57946.14,46434,2672.9
INV00000017,2025-11-21,CUST000018,Prime Weaving & Co.,Exporter,South,Telangana,Udaipur,PROD000011,Satin 120 GSM,Viscose,Reliance,381,756.61,Paid,NEFT,Rohit Sharma,288268.41,5,14413.42,18,49293.9,323148.89,206121,67733.99
INV00000018,2024-10-06,CUST000003,Sunrise Creation LLP,Distributor,East,Uttar Pradesh,Nagpur,PROD000025,Drill 200 GSM,Linen,Alok,276,380.73,Pending,Cheque,Rahul Mehta,105081.48,10,10508.15,18,17023.2,111596.53,78384,16189.33
INV00000019,2024-08-20,CUST000013,Shree Fabrics Ltd,Exporter,South,Madhya Pradesh,Nagpur,PROD000046,Canvas 240 GSM,Denim,Trident,290,568.25,Pending,UPI,Vikas Jain,164792.5,15,24718.88,18,25213.25,165286.88,138040,2033.62
INV00000020,2024-11-18,CUST000018,Prime Weaving & Co.,Exporter,South,Telangana,Udaipur,PROD000046,Canvas 240 GSM,Denim,Trident,59,568.25,Paid,Cash,Sneha Patel,33526.75,10,3352.68,18,5431.33,35605.41,28084,2090.08
INV00000021,2025-12-08,CUST000013,Shree Fabrics Ltd,Exporter,South,Madhya Pradesh,Nagpur,PROD000042,Voile 180 GSM,Technical Textile,Garden,407,355.46,Paid,UPI,Sneha Patel,144672.22,5,7233.61,18,24738.95,162177.56,122914,14524.61
INV00000022,2025-11-11,CUST000019,Krishna Garments Pvt Ltd,Online,East,Madhya Pradesh,Udaipur,PROD000015,Voile 100 GSM,Cotton Fabric,Welspun,250,456.19,Paid,RTGS,Anjali Gupta,114047.5,5,5702.38,18,19502.12,127847.25,86250,22095.12
INV00000023,2025-02-17,CUST000002,Global Creation & Co.,Wholesale,West,Madhya Pradesh,Mumbai,PROD000004,Corduroy 140 GSM,Silk,Raymond,323,321.0,Overdue,RTGS,Karan Singh,103683.0,15,15552.45,18,15863.5,103994.05,75259,12871.55
INV00000024,2025-06-18,CUST000016,Krishna Traders Pvt Ltd,Wholesale,South,Punjab,Chennai,PROD000035,Voile 180 GSM,Silk,Raymond,357,466.86,Overdue,NEFT,Manish Kumar,166669.02,10,16666.9,18,27000.38,177002.5,122451,27551.12
INV00000025,2024-07-17,CUST000011,Prime Weaving Ltd,Wholesale,East,Uttar Pradesh,Kanpur,PROD000049,Satin 180 GSM,Cotton Yarn,Garden,161,540.47,Paid,Cash,Rahul Mehta,87015.67,15,13052.35,18,13313.4,87276.72,71484,2479.32
INV00000026,2024-12-28,CUST000004,Global Weaving Ltd,Distributor,East,Delhi,Ahmedabad,PROD000021,Drill 280 GSM,Cotton Yarn,Welspun,90,132.1,Overdue,Cash,Priya Verma,11889.0,15,1783.35,18,1819.02,11924.67,8820,1285.65
INV00000027,2024-05-25,CUST000017,Om Textiles LLP,Wholesale,North,Karnataka,New Delhi,PROD000026,Canvas 180 GSM,Cotton Yarn,Reliance,272,617.27,Overdue,RTGS,Vikas Jain,167897.44,5,8394.87,18,28710.46,188213.03,140624,18878.57
INV00000028,2024-11-17,CUST000015,Krishna Weaving LLP,Distributor,Central,Uttar Pradesh,Chennai,PROD000020,Denim 100 GSM,Silk,Garden,188,787.32,Paid,Cheque,Sneha Patel,148016.16,5,7400.81,18,25310.76,165926.12,112424,28191.35
INV00000029,2024-08-26,CUST000008,Modern Apparels & Co.,Distributor,West,Punjab,Chennai,PROD000042,Voile 180 GSM,Technical Textile,Garden,209,355.46,Pending,Cash,Rahul Mehta,74291.14,5,3714.56,18,12703.78,83280.37,63118,7458.58
INV00000030,2025-07-08,CUST000004,Global Weaving Ltd,Distributor,East,Delhi,Ahmedabad,PROD000033,Satin 280 GSM,Denim,Alok,144,173.6,Pending,NEFT,Rohit Sharma,24998.4,5,1249.92,18,4274.73,28023.21,20448,3300.48
INV00000031,2025-12-27,CUST000015,Krishna Weaving LLP,Distributor,Central,Uttar Pradesh,Chennai,PROD000018,Ribstop 180 GSM,Technical Textile,Welspun,138,257.91,Pending,Cheque,Priya Verma,35591.58,5,1779.58,18,6086.16,39898.16,26772,7040.0
INV00000032,2024-09-06,CUST000017,Om Textiles LLP,Wholesale,North,Karnataka,New Delhi,PROD000028,Satin 240 GSM,Viscose,Raymond,462,390.55,Pending,Cash,Priya Verma,180434.1,5,9021.7,18,30854.23,202266.63,154308,17104.4
INV00000033,2025-02-11,CUST000009,Krishna Garments Pvt Ltd,Wholesale,East,Gujarat,Rajkot,PROD000026,Canvas 180 GSM,Cotton Yarn,Reliance,224,617.27,Pending,UPI,Manish Kumar,138268.48,10,13826.85,18,22399.49,146841.13,115808,8633.63
INV00000034,2025-06-10,CUST000018,Prime Weaving & Co.,Exporter,South,Telangana,Udaipur,PROD000024,Lycra 140 GSM,Denim,Garden,348,604.73,Pending,NEFT,Rohit Sharma,210446.04,0,0.0,18,37880.29,248326.33,163560,46886.04
INV00000035,2025-05-09,CUST000007,Global Textiles Ltd,Retail,South,Delhi,Nagpur,PROD000023,Lycra 120 GSM,Linen,Garden,300,746.96,Overdue,UPI,Priya Verma,224088.0,0,0.0,18,40335.84,264423.84,179400,44688.0
INV00000036,2025-08-08,CUST000007,Global Textiles Ltd,Retail,South,Delhi,Nagpur,PROD000016,Corduroy 100 GSM,Cotton Yarn,Alok,336,195.22,Paid,UPI,Sneha Patel,65593.92,15,9839.09,18,10035.87,65790.7,50736,5018.83
INV00000037,2025-04-03,CUST000003,Sunrise Creation LLP,Distributor,East,Uttar Pradesh,Nagpur,PROD000002,Ribstop 160 GSM,Cotton Yarn,Garden,160,173.1,Pending,RTGS,Vikas Jain,27696.0,5,1384.8,18,4736.02,31047.22,19840,6471.2
INV00000038,2024-06-27,CUST000007,Global Textiles Ltd,Retail,South,Delhi,Nagpur,PROD000014,Oxford 240 GSM,Technical Textile,Welspun,405,752.59,Overdue,NEFT,Manish Kumar,304798.95,10,30479.9,18,49377.43,323696.48,225990,48329.05
INV00000039,2025-08-06,CUST000014,Sunrise Fabrics & Co.,Exporter,South,Uttar Pradesh,Surat,PROD000046,Canvas 240 GSM,Denim,Trident,28,568.25,Paid,Cash,Sneha Patel,15911.0,5,795.55,18,2720.78,17836.23,13328,1787.45
INV00000040,2025-01-04,CUST000009,Krishna Garments Pvt Ltd,Wholesale,East,Gujarat,Rajkot,PROD000040,Lycra 320 GSM,Technical Textile,Trident,347,667.35,Pending,Cash,Amit Shah,231570.45,15,34735.57,18,35430.28,232265.16,186339,10495.88
INV00000041,2024-01-07,CUST000011,Prime Weaving Ltd,Wholesale,East,Uttar Pradesh,Kanpur,PROD000003,Twill 350 GSM,Cotton Yarn,Trident,198,212.81,Pending,NEFT,Priya Verma,42136.38,10,4213.64,18,6826.09,44748.84,36630,1292.74
INV00000042,2024-06-16,CUST000007,Global Textiles Ltd,Retail,South,Delhi,Nagpur,PROD000028,Satin 240 GSM,Viscose,Raymond,366,390.55,Pending,RTGS,Rahul Mehta,142941.3,5,7147.07,18,24442.96,160237.2,122244,13550.24
INV00000043,2024-03-22,CUST000010,Sai Garments Ltd,Online,East,Delhi,Bengaluru,PROD000021,Drill 280 GSM,Cotton Yarn,Welspun,132,132.1,Overdue,UPI,Neha Joshi,17437.2,5,871.86,18,2981.76,19547.1,12936,3629.34
INV00000044,2024-02-27,CUST000011,Prime Weaving Ltd,Wholesale,East,Uttar Pradesh,Kanpur,PROD000020,Denim 100 GSM,Silk,Garden,470,787.32,Paid,Cash,Vikas Jain,370040.4,15,55506.06,18,56616.18,371150.52,281060,33474.34
INV00000045,2024-01-21,CUST000010,Sai Garments Ltd,Online,East,Delhi,Bengaluru,PROD000044,Twill 140 GSM,Cotton Yarn,Reliance,22,322.71,Paid,Cheque,Vikas Jain,7099.62,5,354.98,18,1214.04,7958.67,5962,782.64
INV00000046,2025-05-09,CUST000011,Prime Weaving Ltd,Wholesale,East,Uttar Pradesh,Kanpur,PROD000040,Lycra 320 GSM,Technical Textile,Trident,309,667.35,Pending,NEFT,Rahul Mehta,206211.15,5,10310.56,18,35262.11,231162.7,165933,29967.59
INV00000047,2024-11-09,CUST000005,Global Exports Pvt Ltd,Online,East,Madhya Pradesh,Indore,PROD000048,Twill 100 GSM,Linen,Vardhman,41,588.08,Overdue,UPI,Rahul Mehta,24111.28,0,0.0,18,4340.03,28451.31,18122,5989.28
INV00000048,2024-05-21,CUST000006,Krishna Garments & Co.,Distributor,South,Uttar Pradesh,New Delhi,PROD000013,Twill 140 GSM,Linen,Welspun,387,193.63,Overdue,NEFT,Karan Singh,74934.81,10,7493.48,18,12139.44,79580.77,56115,11326.33
INV00000049,2025-10-28,CUST000006,Krishna Garments & Co.,Distributor,South,Uttar Pradesh,New Delhi,PROD000047,Drill 120 GSM,Viscose,Vardhman,195,573.75,Pending,Cash,Neha Joshi,111881.25,5,5594.06,18,19131.69,125418.88,88335,17952.19
INV00000050,2024-07-11,CUST000005,Global Exports Pvt Ltd,Online,East,Madhya Pradesh,Indore,PROD000018,Ribstop 180 GSM,Technical Textile,Welspun,260,257.91,Overdue,UPI,Priya Verma,67056.6,0,0.0,18,12070.19,79126.79,50440,16616.6
INV00000051,2024-04-05,CUST000002,Global Creation & Co.,Wholesale,West,Madhya Pradesh,Mumbai,PROD000030,Twill 120 GSM,Denim,Vardhman,30,424.66,Pending,Cheque,Priya Verma,12739.8,5,636.99,18,2178.51,14281.32,10680,1422.81
INV00000052,2024-10-05,CUST000004,Global Weaving Ltd,Distributor,East,Delhi,Ahmedabad,PROD000018,Ribstop 180 GSM,Technical Textile,Welspun,209,257.91,Paid,RTGS,Vikas Jain,53903.19,5,2695.16,18,9217.45,60425.48,40546,10662.03
INV00000053,2024-05-24,CUST000008,Modern Apparels & Co.,Distributor,West,Punjab,Chennai,PROD000014,Oxford 240 GSM,Technical Textile,Welspun,226,752.59,Pending,UPI,Karan Singh,170085.34,15,25512.8,18,26023.06,170595.6,126108,18464.54
INV00000054,2025-06-26,CUST000003,Sunrise Creation LLP,Distributor,East,Uttar Pradesh,Nagpur,PROD000006,Canvas 240 GSM,Technical Textile,Vardhman,94,172.02,Pending,NEFT,Neha Joshi,16169.88,5,808.49,18,2765.05,18126.44,12408,2953.39
INV00000055,2025-10-17,CUST000005,Global Exports Pvt Ltd,Online,East,Madhya Pradesh,Indore,PROD000049,Satin 180 GSM,Cotton Yarn,Garden,164,540.47,Overdue,Cash,Anjali Gupta,88637.08,10,8863.71,18,14359.21,94132.58,72816,6957.37
INV00000056,2025-02-09,CUST000020,Global Traders & Co.,Retail,East,Tamil Nadu,Mysuru,PROD000018,Ribstop 180 GSM,Technical Textile,Welspun,206,257.91,Pending,Cheque,Vikas Jain,53129.46,5,2656.47,18,9085.14,59558.12,39964,10508.99
INV00000057,2025-05-09,CUST000009,Krishna Garments Pvt Ltd,Wholesale,East,Gujarat,Rajkot,PROD000017,Ribstop 320 GSM,Polyester,Arvind,180,787.49,Paid,RTGS,Manish Kumar,141748.2,5,7087.41,18,24238.94,158899.73,103320,31340.79
INV00000058,2025-03-12,CUST000015,Krishna Weaving LLP,Distributor,Central,Uttar Pradesh,Chennai,PROD000011,Satin 120 GSM,Viscose,Reliance,453,756.61,Pending,RTGS,Rohit Sharma,342744.33,5,17137.22,18,58609.28,384216.39,245073,80534.11
INV00000059,2024-12-11,CUST000001,Krishna Textiles Ltd,Retail,South,Rajasthan,Ahmedabad,PROD000021,Drill 280 GSM,Cotton Yarn,Welspun,426,132.1,Overdue,RTGS,Sneha Patel,56274.6,5,2813.73,18,9622.96,63083.83,41748,11712.87
INV00000060,2025-04-12,CUST000003,Sunrise Creation LLP,Distributor,East,Uttar Pradesh,Nagpur,PROD000003,Twill 350 GSM,Cotton Yarn,Trident,411,212.81,Paid,Cheque,Anjali Gupta,87464.91,15,13119.74,18,13382.13,87727.3,76035,-1689.83
INV00000061,2025-07-15,CUST000007,Global Textiles Ltd,Retail,South,Delhi,Nagpur,PROD000028,Satin 240 GSM,Viscose,Raymond,223,390.55,Pending,Cash,Vikas Jain,87092.65,10,8709.27,18,14109.01,92492.39,74482,3901.39
INV00000062,2024-09-13,CUST000002,Global Creation & Co.,Wholesale,West,Madhya Pradesh,Mumbai,PROD000043,Voile 240 GSM,Polyester,Raymond,253,232.56,Paid,Cheque,Priya Verma,58837.68,0,0.0,18,10590.78,69428.46,49841,8996.68
INV00000063,2025-09-02,CUST000015,Krishna Weaving LLP,Distributor,Central,Uttar Pradesh,Chennai,PROD000037,Canvas 200 GSM,Cotton Fabric,Alok,375,115.63,Pending,Cheque,Rahul Mehta,43361.25,15,6504.19,18,6634.27,43491.33,37500,-642.94
INV00000064,2024-10-02,CUST000008,Modern Apparels & Co.,Distributor,West,Punjab,Chennai,PROD000047,Drill 120 GSM,Viscose,Vardhman,86,573.75,Overdue,RTGS,Neha Joshi,49342.5,0,0.0,18,8881.65,58224.15,38958,10384.5
INV00000065,2025-06-15,CUST000011,Prime Weaving Ltd,Wholesale,East,Uttar Pradesh,Kanpur,PROD000006,Canvas 240 GSM,Technical Textile,Vardhman,382,172.02,Overdue,NEFT,Karan Singh,65711.64,0,0.0,18,11828.1,77539.74,50424,15287.64
INV00000066,2024-04-25,CUST000018,Prime Weaving & Co.,Exporter,South,Telangana,Udaipur,PROD000039,Corduroy 240 GSM,Cotton Yarn,Raymond,97,626.27,Pending,Cheque,Anjali Gupta,60748.19,0,0.0,18,10934.67,71682.86,47627,13121.19
INV00000067,2024-05-27,CUST000019,Krishna Garments Pvt Ltd,Online,East,Madhya Pradesh,Udaipur,PROD000045,Ribstop 240 GSM,Cotton Fabric,Garden,73,599.84,Overdue,NEFT,Sneha Patel,43788.32,5,2189.42,18,7487.8,49086.71,33653,7945.9
INV00000068,2025-10-25,CUST000019,Krishna Garments Pvt Ltd,Online,East,Madhya Pradesh,Udaipur,PROD000002,Ribstop 160 GSM,Cotton Yarn,Garden,173,173.1,Overdue,Cash,Vikas Jain,29946.3,15,4491.94,18,4581.78,30036.14,21452,4002.35
INV00000069,2024-08-30,CUST000017,Om Textiles LLP,Wholesale,North,Karnataka,New Delhi,PROD000025,Drill 200 GSM,Linen,Alok,30,380.73,Paid,NEFT,Sneha Patel,11421.9,0,0.0,18,2055.94,13477.84,8520,2901.9
INV00000070,2024-10-29,CUST000009,Krishna Garments Pvt Ltd,Wholesale,East,Gujarat,Rajkot,PROD000045,Ribstop 240 GSM,Cotton Fabric,Garden,212,599.84,Overdue,RTGS,Amit Shah,127166.08,0,0.0,18,22889.89,150055.97,97732,29434.08
INV00000071,2025-04-04,CUST000016,Krishna Traders Pvt Ltd,Wholesale,South,Punjab,Chennai,PROD000032,Voile 120 GSM,Linen,Reliance,12,613.76,Pending,UPI,Karan Singh,7365.12,5,368.26,18,1259.44,8256.3,5292,1704.86
INV00000072,2024-01-26,CUST000013,Shree Fabrics Ltd,Exporter,South,Madhya Pradesh,Nagpur,PROD000016,Corduroy 100 GSM,Cotton Yarn,Alok,126,195.22,Pending,RTGS,Manish Kumar,24597.72,10,2459.77,18,3984.83,26122.78,19026,3111.95
INV00000073,2025-04-24,CUST000020,Global Traders & Co.,Retail,East,Tamil Nadu,Mysuru,PROD000031,Satin 120 GSM,Silk,Vardhman,323,634.54,Pending,NEFT,Amit Shah,204956.42,5,10247.82,18,35047.55,229756.15,152779,41929.6
INV00000074,2025-03-10,CUST000017,Om Textiles LLP,Wholesale,North,Karnataka,New Delhi,PROD000031,Satin 120 GSM,Silk,Vardhman,157,634.54,Overdue,RTGS,Sneha Patel,99622.78,0,0.0,18,17932.1,117554.88,74261,25361.78
INV00000075,2024-09-15,CUST000020,Global Traders & Co.,Retail,East,Tamil Nadu,Mysuru,PROD000028,Satin 240 GSM,Viscose,Raymond,138,390.55,Pending,Cash,Sneha Patel,53895.9,10,5389.59,18,8731.14,57237.45,46092,2414.31
INV00000076,2025-09-13,CUST000004,Global Weaving Ltd,Distributor,East,Delhi,Ahmedabad,PROD000044,Twill 140 GSM,Cotton Yarn,Reliance,32,322.71,Overdue,UPI,Vikas Jain,10326.72,15,1549.01,18,1579.99,10357.7,8672,105.71
INV00000077,2024-12-16,CUST000013,Shree Fabrics Ltd,Exporter,South,Madhya Pradesh,Nagpur,PROD000042,Voile 180 GSM,Technical Textile,Garden,160,355.46,Overdue,Cheque,Amit Shah,56873.6,0,0.0,18,10237.25,67110.85,48320,8553.6
INV00000078,2025-09-16,CUST000001,Krishna Textiles Ltd,Retail,South,Rajasthan,Ahmedabad,PROD000006,Canvas 240 GSM,Technical Textile,Vardhman,352,172.02,Pending,Cash,Rohit Sharma,60551.04,0,0.0,18,10899.19,71450.23,46464,14087.04
INV00000079,2025-03-03,CUST000007,Global Textiles Ltd,Retail,South,Delhi,Nagpur,PROD000034,Satin 240 GSM,Viscose,Raymond,34,537.58,Paid,Cheque,Rahul Mehta,18277.72,15,2741.66,18,2796.49,18332.55,14178,1358.06
INV00000080,2025-08-16,CUST000020,Global Traders & Co.,Retail,East,Tamil Nadu,Mysuru,PROD000008,Voile 160 GSM,Cotton Fabric,Reliance,315,622.3,Overdue,RTGS,Vikas Jain,196024.5,5,9801.22,18,33520.19,219743.46,147735,38488.27
INV00000081,2025-09-17,CUST000020,Global Traders & Co.,Retail,East,Tamil Nadu,Mysuru,PROD000050,Voile 140 GSM,Denim,Welspun,72,187.55,Paid,Cheque,Amit Shah,13503.6,5,675.18,18,2309.12,15137.54,10296,2532.42
INV00000082,2025-07-24,CUST000017,Om Textiles LLP,Wholesale,North,Karnataka,New Delhi,PROD000050,Voile 140 GSM,Denim,Welspun,187,187.55,Pending,Cheque,Rahul Mehta,35071.85,15,5260.78,18,5365.99,35177.07,26741,3070.07
INV00000083,2025-08-17,CUST000008,Modern Apparels & Co.,Distributor,West,Punjab,Chennai,PROD000006,Canvas 240 GSM,Technical Textile,Vardhman,421,172.02,Overdue,UPI,Vikas Jain,72420.42,15,10863.06,18,11080.32,72637.68,55572,5985.36
INV00000084,2025-04-25,CUST000015,Krishna Weaving LLP,Distributor,Central,Uttar Pradesh,Chennai,PROD000016,Corduroy 100 GSM,Cotton Yarn,Alok,242,195.22,Overdue,Cheque,Vikas Jain,47243.24,15,7086.49,18,7228.22,47384.97,36542,3614.75
INV00000085,2025-01-30,CUST000006,Krishna Garments & Co.,Distributor,South,Uttar Pradesh,New Delhi,PROD000008,Voile 160 GSM,Cotton Fabric,Reliance,470,622.3,Paid,Cash,Manish Kumar,292481.0,0,0.0,18,52646.58,345127.58,220430,72051.0
INV00000086,2024-12-05,CUST000006,Krishna Garments & Co.,Distributor,South,Uttar Pradesh,New Delhi,PROD000013,Twill 140 GSM,Linen,Welspun,340,193.63,Paid,Cheque,Anjali Gupta,65834.2,15,9875.13,18,10072.63,66031.7,49300,6659.07
INV00000087,2025-03-08,CUST000009,Krishna Garments Pvt Ltd,Wholesale,East,Gujarat,Rajkot,PROD000022,Ribstop 280 GSM,Cotton Yarn,Welspun,387,410.93,Overdue,Cheque,Sneha Patel,159029.91,0,0.0,18,28625.38,187655.29,130419,28610.91
INV00000088,2024-10-27,CUST000019,Krishna Garments Pvt Ltd,Online,East,Madhya Pradesh,Udaipur,PROD000016,Corduroy 100 GSM,Cotton Yarn,Alok,103,195.22,Overdue,NEFT,Sneha Patel,20107.66,15,3016.15,18,3076.47,20167.98,15553,1538.51
INV00000089,2024-02-09,CUST000004,Global Weaving Ltd,Distributor,East,Delhi,Ahmedabad,PROD000020,Denim 100 GSM,Silk,Garden,108,787.32,Overdue,RTGS,Anjali Gupta,85030.56,0,0.0,18,15305.5,100336.06,64584,20446.56
INV00000090,2025-03-11,CUST000015,Krishna Weaving LLP,Distributor,Central,Uttar Pradesh,Chennai,PROD000022,Ribstop 280 GSM,Cotton Yarn,Welspun,230,410.93,Overdue,NEFT,Amit Shah,94513.9,0,0.0,18,17012.5,111526.4,77510,17003.9
INV00000091,2024-11-17,CUST000001,Krishna Textiles Ltd,Retail,South,Rajasthan,Ahmedabad,PROD000021,Drill 280 GSM,Cotton Yarn,Welspun,434,132.1,Pending,Cash,Rohit Sharma,57331.4,0,0.0,18,10319.65,67651.05,42532,14799.4
INV00000092,2024-02-06,CUST000015,Krishna Weaving LLP,Distributor,Central,Uttar Pradesh,Chennai,PROD000026,Canvas 180 GSM,Cotton Yarn,Reliance,453,617.27,Pending,UPI,Priya Verma,279623.31,10,27962.33,18,45298.98,296959.96,234201,17459.98
INV00000093,2025-10-30,CUST000017,Om Textiles LLP,Wholesale,North,Karnataka,New Delhi,PROD000030,Twill 120 GSM,Denim,Vardhman,442,424.66,Pending,Cash,Vikas Jain,187699.72,0,0.0,18,33785.95,221485.67,157352,30347.72
INV00000094,2024-05-03,CUST000014,Sunrise Fabrics & Co.,Exporter,South,Uttar Pradesh,Surat,PROD000014,Oxford 240 GSM,Technical Textile,Welspun,165,752.59,Pending,Cash,Manish Kumar,124177.35,0,0.0,18,22351.92,146529.27,92070,32107.35
INV00000095,2025-01-02,CUST000015,Krishna Weaving LLP,Distributor,Central,Uttar Pradesh,Chennai,PROD000046,Canvas 240 GSM,Denim,Trident,190,568.25,Pending,NEFT,Vikas Jain,107967.5,10,10796.75,18,17490.74,114661.48,90440,6730.75
INV00000096,2025-04-15,CUST000010,Sai Garments Ltd,Online,East,Delhi,Bengaluru,PROD000043,Voile 240 GSM,Polyester,Raymond,265,232.56,Overdue,NEFT,Rahul Mehta,61628.4,15,9244.26,18,9429.15,61813.29,52205,179.14
INV00000097,2024-09-14,CUST000001,Krishna Textiles Ltd,Retail,South,Rajasthan,Ahmedabad,PROD000029,Canvas 160 GSM,Technical Textile,Trident,324,246.12,Pending,RTGS,Rohit Sharma,79742.88,10,7974.29,18,12918.35,84686.94,59940,11828.59
INV00000098,2024-05-28,CUST000001,Krishna Textiles Ltd,Retail,South,Rajasthan,Ahmedabad,PROD000011,Satin 120 GSM,Viscose,Reliance,366,756.61,Paid,Cheque,Anjali Gupta,276919.26,15,41537.89,18,42368.65,277750.02,198006,37375.37
INV00000099,2025-07-06,CUST000010,Sai Garments Ltd,Online,East,Delhi,Bengaluru,PROD000036,Ribstop 240 GSM,Linen,Welspun,412,142.16,Paid,UPI,Rahul Mehta,58569.92,15,8785.49,18,8961.2,58745.63,43672,6112.43
INV00000100,2025-02-18,CUST000016,Krishna Traders Pvt Ltd,Wholesale,South,Punjab,Chennai,PROD000002,Ribstop 160 GSM,Cotton Yarn,Garden,67,173.1,Pending,Cheque,Neha Joshi,11597.7,15,1739.65,18,1774.45,11632.49,8308,1550.04
INV00000101,2025-01-12,CUST000018,Prime Weaving & Co.,Exporter,South,Telangana,Udaipur,PROD000030,Twill 120 GSM,Denim,Vardhman,392,424.66,Overdue,UPI,Priya Verma,166466.72,15,24970.01,18,25469.41,166966.12,139552,1944.71
INV00000102,2024-12-25,CUST000002,Global Creation & Co.,Wholesale,West,Madhya Pradesh,Mumbai,PROD000012,Poplin 100 GSM,Cotton Fabric,Reliance,221,206.96,Paid,NEFT,Vikas Jain,45738.16,10,4573.82,18,7409.58,48573.93,36244,4920.34
